"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"1";"Lubbe";"Rickus";"Montpellier";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_6.html"
"2";"Deen";"Jacques";"Bayonne";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_48.html"
"3";"Davis";"Glenn";"Bourgoin";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_94.html"
"4";"Esterhuizen";"Grant";"Clermont";"06/07";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_107.html"
"5";"Morgan";"Garrick";"Pau";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_144.html"
"6";"Stoltz";"Conrad";"Agen";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_181.html"
"7";"Edmonds";"Manny";"USAP";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_221.html"
"8";"McMullen";"Craig";"Clermont";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_238.html"
"9";"Hunter";"David";"Narbonne";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_249.html"
"10";"Taele";"Murphy";"Montpellier";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_268.html"
"11";"Daniell";"John";"Montpellier";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_275.html"
"12";"Toleafoa";"Philemon";"Montpellier";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_281.html"
"13";"Isaac";"John";"Pau";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_364.html"
"14";"Maka";"Isitolo";"Stade Toulousain";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_367.html"
"15";"Tomuli";"Jeremy";"Bayonne";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_441.html"
"16";"Robertson";"Scott";"USAP";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_449.html"
"17";"Maka";"Finau";"Stade Toulousain";"05/06";"France";"Top 14";"Tonga";"http://www.itsrugby.fr/joueur_452.html"
"18";"Hill";"Anthony";"Montpellier";"05/06";"France";"Top 14";"Australie";"http://www.itsrugby.fr/joueur_501.html"
"19";"Koko";"Ali";"Montpellier";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_663.html"
"20";"Lealamanu'a";"Kas";"Biarritz";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_699.html"
"21";"Hill";"Grant";"Bayonne";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_706.html"
"22";"Tapasu";"Tao";"Auch";"07/08";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_715.html"
"23";"Fleming";"Brad";"Castres";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_726.html"
"24";"Hume";"Gavin";"USAP";"05/06";"France";"Top 14";"Afrique du Sud";"http://www.itsrugby.fr/joueur_729.html"
"25";"Milford";"Laloa";"Castres";"05/06";"France";"Top 14";"Samoa";"http://www.itsrugby.fr/joueur_734.html"
"26";"Tewhata";"Mikaera";"Bayonne";"05/06";"France";"Top 14";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_741.html"
"27";"Ratuva";"Aca";"Agen";"05/06";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_762.html"
"28";"Caucaunibuca";"Rupeni";"Agen";"05/06";"France";"Top 14";"Fidji";"http://www.itsrugby.fr/joueur_773.html"
