"";"nom";"prenom";"competition";"age";"minutes";"saison";"WC_U20";"lien"
"1";"Nyanga";"Yannick";"Top 14";25;1333;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_12.html"
"2";"Nyanga";"Yannick";"Top 14";24;1024;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_12.html"
"3";"Dupuy";"Julien";"Top 14";24;905;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_26.html"
"4";"Szarzewski";"Dimitri";"Top 14";25;700;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_36.html"
"5";"Marchois";"Arnaud";"Top 14";25;1116;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_67.html"
"6";"Grandclaude";"Jean-Philippe";"Top 14";25;1722;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_80.html"
"7";"Arias";"Julien";"Top 14";25;1200;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_81.html"
"8";"Arias";"Julien";"Top 14";24;1098;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_81.html"
"9";"Fritz";"Florian";"Top 14";25;1545;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_95.html"
"10";"Fritz";"Florian";"Top 14";24;846;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_95.html"
"11";"Salle-Canne";"Anthony";"Top 14";25;451;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_111.html"
"12";"Cabannes";"Romain";"Top 14";25;1438;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_139.html"
"13";"Cabannes";"Romain";"Top 14";24;1290;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_139.html"
"14";"Cabannes";"Romain";"Top 14";23;729;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_139.html"
"15";"Courrent";"Valentin";"Top 14";25;740;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_163.html"
"16";"Garcia";"Cedric";"Top 14";25;1180;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_203.html"
"17";"Marty";"David";"Top 14";25;1301;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_218.html"
"18";"Baby";"Benoit";"Top 14";25;812;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_290.html"
"19";"Baby";"Benoit";"Top 14";24;1255;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_290.html"
"20";"Millo-Chluski";"Romain";"Top 14";25;1290;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_295.html"
"21";"Audy";"Julien";"Top 14";25;1500;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_300.html"
"22";"Audy";"Julien";"Top 14";24;841;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_300.html"
"23";"Peyras-Loustalet";"Jean-Baptiste";"Top 14";25;1383;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_313.html"
"24";"Peyras-Loustalet";"Jean-Baptiste";"Top 14";24;1742;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_313.html"
"25";"Durand";"Nicolas";"Top 14";25;1251;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_320.html"
"26";"Lacroix";"Thibault";"Top 14";25;1626;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_324.html"
"27";"Lacroix";"Thibault";"Top 14";24;1708;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_324.html"
"28";"Lacroix";"Thibault";"Top 14";23;1864;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_324.html"
"29";"Baget";"Marc";"Top 14";25;143;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_327.html"
"30";"Baget";"Marc";"Top 14";24;685;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_327.html"
"31";"Baget";"Marc";"Top 14";23;166;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_327.html"
"32";"Lison";"Denis";"Top 14";25;204;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_341.html"
"33";"Faure";"Florian";"Top 14";25;1307;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_361.html"
"34";"Bernad";"Guillaume";"Top 14";25;1585;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_380.html"
"35";"Beauxis";"Lionel";"Top 14";25;1784;"10/11";"not U20 WC";"http://www.itsrugby.fr/joueur_474.html"
"36";"Beauxis";"Lionel";"Top 14";24;1485;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_474.html"
"37";"Beauxis";"Lionel";"Top 14";23;1420;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_474.html"
"38";"Beauxis";"Lionel";"Top 14";22;747;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_474.html"
"39";"Thiery";"Benjamin";"Top 14";25;323;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_477.html"
"40";"Thiery";"Benjamin";"Top 14";24;1455;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_477.html"
"41";"Floch";"Anthony";"Top 14";25;1043;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_496.html"
"42";"Ribes";"Guillaume";"Top 14";25;695;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_645.html"
"43";"Ribes";"Guillaume";"Top 14";24;995;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_645.html"
"44";"Ribes";"Guillaume";"Top 14";23;961;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_645.html"
"45";"Bouquie";"Thomas";"Top 14";25;1330;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_651.html"
"46";"Bianco";"Regis";"Top 14";25;1598;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_654.html"
"47";"Denos";"Florian";"Top 14";25;417;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_658.html"
"48";"Denos";"Florian";"Top 14";25;272;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_658.html"
"49";"Denos";"Florian";"Top 14";24;1426;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_658.html"
"50";"Denos";"Florian";"Top 14";23;1244;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_658.html"
"51";"Cibray";"Fabien";"Top 14";25;466;"10/11";"not U20 WC";"http://www.itsrugby.fr/joueur_660.html"
"52";"Cibray";"Fabien";"Top 14";24;552;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_660.html"
"53";"Cibray";"Fabien";"Top 14";23;142;"08/09";"not U20 WC";"http://www.itsrugby.fr/joueur_660.html"
"54";"Cibray";"Fabien";"Top 14";22;82;"07/08";"not U20 WC";"http://www.itsrugby.fr/joueur_660.html"
"55";"Lespinas";"Regis";"Top 14";25;294;"09/10";"not U20 WC";"http://www.itsrugby.fr/joueur_666.html"
