"";"nom";"prenom";"age";"minutes";"Competition";"year";"saison";"lien"
"1";"Bastareaud";"Mathieu";25;1340;"Top 14";1988;"13/14";"http://www.itsrugby.fr/joueur_4806.html"
"2";"Bastareaud";"Mathieu";24;1347;"Top 14";1988;"12/13";"http://www.itsrugby.fr/joueur_4806.html"
"3";"Bastareaud";"Mathieu";23;1623;"Top 14";1988;"11/12";"http://www.itsrugby.fr/joueur_4806.html"
"4";"Bastareaud";"Mathieu";22;1828;"Top 14";1988;"10/11";"http://www.itsrugby.fr/joueur_4806.html"
"5";"Bastareaud";"Mathieu";21;1409;"Top 14";1988;"09/10";"http://www.itsrugby.fr/joueur_4806.html"
"6";"Bastareaud";"Mathieu";20;1275;"Top 14";1988;"08/09";"http://www.itsrugby.fr/joueur_4806.html"
"7";"Bastareaud";"Mathieu";19;785;"Top 14";1988;"07/08";"http://www.itsrugby.fr/joueur_4806.html"
"8";"Maestri";"Yoann";25;1328;"Top 14";1988;"12/13";"http://www.itsrugby.fr/joueur_4829.html"
"9";"Maestri";"Yoann";24;1402;"Top 14";1988;"11/12";"http://www.itsrugby.fr/joueur_4829.html"
"10";"Maestri";"Yoann";23;1248;"Top 14";1988;"10/11";"http://www.itsrugby.fr/joueur_4829.html"
"11";"Maestri";"Yoann";22;1222;"Top 14";1988;"09/10";"http://www.itsrugby.fr/joueur_4829.html"
"12";"Maestri";"Yoann";21;1139;"Top 14";1988;"08/09";"http://www.itsrugby.fr/joueur_4829.html"
"13";"Turner-Hall";"Jordan";25;1049;"Premiership";1988;"12/13";"http://www.itsrugby.fr/joueur_4853.html"
"14";"Turner-Hall";"Jordan";24;1637;"Premiership";1988;"11/12";"http://www.itsrugby.fr/joueur_4853.html"
"15";"Turner-Hall";"Jordan";23;1727;"Premiership";1988;"10/11";"http://www.itsrugby.fr/joueur_4853.html"
"16";"Turner-Hall";"Jordan";22;1004;"Premiership";1988;"09/10";"http://www.itsrugby.fr/joueur_4853.html"
"17";"Turner-Hall";"Jordan";21;1541;"Premiership";1988;"08/09";"http://www.itsrugby.fr/joueur_4853.html"
"18";"Turner-Hall";"Jordan";20;888;"Premiership";1988;"07/08";"http://www.itsrugby.fr/joueur_4853.html"
"19";"Afeaki";"Ben";25;666;"Super Rugby";1988;"12/13";"http://www.itsrugby.fr/joueur_4996.html"
"20";"Afeaki";"Ben";24;180;"Super Rugby";1988;"11/12";"http://www.itsrugby.fr/joueur_4996.html"
"21";"Afeaki";"Ben";23;456;"Super Rugby";1988;"10/11";"http://www.itsrugby.fr/joueur_4996.html"
"22";"Afeaki";"Ben";22;493;"Super Rugby";1988;"09/10";"http://www.itsrugby.fr/joueur_4996.html"
"23";"Ellis";"Hugo";22;10;"Premiership";1988;"09/10";"http://www.itsrugby.fr/joueur_5027.html"
"24";"Ellis";"Hugo";21;154;"Premiership";1988;"08/09";"http://www.itsrugby.fr/joueur_5027.html"
"25";"Ellis";"Hugo";20;64;"Premiership";1988;"07/08";"http://www.itsrugby.fr/joueur_5027.html"
"26";"Parra";"Morgan";25;1066;"Top 14";1988;"13/14";"http://www.itsrugby.fr/joueur_5042.html"
"27";"Parra";"Morgan";24;1116;"Top 14";1988;"12/13";"http://www.itsrugby.fr/joueur_5042.html"
"28";"Parra";"Morgan";23;819;"Top 14";1988;"11/12";"http://www.itsrugby.fr/joueur_5042.html"
"29";"Parra";"Morgan";22;1376;"Top 14";1988;"10/11";"http://www.itsrugby.fr/joueur_5042.html"
"30";"Parra";"Morgan";21;1208;"Top 14";1988;"09/10";"http://www.itsrugby.fr/joueur_5042.html"
"31";"Parra";"Morgan";20;1217;"Top 14";1988;"08/09";"http://www.itsrugby.fr/joueur_5042.html"
"32";"Parra";"Morgan";19;763;"Top 14";1988;"07/08";"http://www.itsrugby.fr/joueur_5042.html"
"33";"Renata";"Trent";25;80;"Super Rugby";1988;"12/13";"http://www.itsrugby.fr/joueur_5076.html"
"34";"Renata";"Trent";22;80;"Super Rugby";1988;"09/10";"http://www.itsrugby.fr/joueur_5076.html"
"35";"Tomas";"Adrien";23;31;"Top 14";1988;"10/11";"http://www.itsrugby.fr/joueur_5081.html"
"36";"Tomas";"Adrien";22;396;"Top 14";1988;"09/10";"http://www.itsrugby.fr/joueur_5081.html"
"37";"Tomas";"Adrien";21;127;"Top 14";1988;"08/09";"http://www.itsrugby.fr/joueur_5081.html"
"38";"Tomas";"Adrien";20;8;"Top 14";1988;"07/08";"http://www.itsrugby.fr/joueur_5081.html"
"39";"Catt";"Nat";25;363;"Premiership";1988;"12/13";"http://www.itsrugby.fr/joueur_5709.html"
"40";"Catt";"Nat";24;860;"Premiership";1988;"11/12";"http://www.itsrugby.fr/joueur_5709.html"
"41";"Catt";"Nat";23;407;"Premiership";1988;"10/11";"http://www.itsrugby.fr/joueur_5709.html"
"42";"Catt";"Nat";22;122;"Premiership";1988;"09/10";"http://www.itsrugby.fr/joueur_5709.html"
"43";"Taylor";"Andre";25;804;"Super Rugby";1988;"12/13";"http://www.itsrugby.fr/joueur_5876.html"
"44";"Taylor";"Andre";24;1204;"Super Rugby";1988;"11/12";"http://www.itsrugby.fr/joueur_5876.html"
"45";"Taylor";"Andre";23;681;"Super Rugby";1988;"10/11";"http://www.itsrugby.fr/joueur_5876.html"
"46";"Taylor";"Andre";22;333;"Super Rugby";1988;"09/10";"http://www.itsrugby.fr/joueur_5876.html"
"47";"David";"Yann";25;839;"Top 14";1988;"12/13";"http://www.itsrugby.fr/joueur_6204.html"
"48";"David";"Yann";24;1353;"Top 14";1988;"11/12";"http://www.itsrugby.fr/joueur_6204.html"
"49";"David";"Yann";23;134;"Top 14";1988;"10/11";"http://www.itsrugby.fr/joueur_6204.html"
"50";"David";"Yann";22;1282;"Top 14";1988;"09/10";"http://www.itsrugby.fr/joueur_6204.html"
"51";"David";"Yann";21;1179;"Top 14";1988;"08/09";"http://www.itsrugby.fr/joueur_6204.html"
"52";"David";"Yann";20;949;"Top 14";1988;"07/08";"http://www.itsrugby.fr/joueur_6204.html"
"53";"Cato";"Noah";25;80;"Premiership";1988;"12/13";"http://www.itsrugby.fr/joueur_6443.html"
"54";"Cato";"Noah";24;528;"Premiership";1988;"11/12";"http://www.itsrugby.fr/joueur_6443.html"
"55";"Cato";"Noah";23;398;"Premiership";1988;"10/11";"http://www.itsrugby.fr/joueur_6443.html"
"56";"Cato";"Noah";22;702;"Premiership";1988;"09/10";"http://www.itsrugby.fr/joueur_6443.html"
"57";"Cato";"Noah";21;794;"Premiership";1988;"08/09";"http://www.itsrugby.fr/joueur_6443.html"
"58";"Cato";"Noah";20;170;"Premiership";1988;"07/08";"http://www.itsrugby.fr/joueur_6443.html"
"59";"Dumora";"Julien";24;306;"Top 14";1988;"11/12";"http://www.itsrugby.fr/joueur_6451.html"
"60";"Lacrampe";"Thierry";25;331;"Top 14";1988;"12/13";"http://www.itsrugby.fr/joueur_8440.html"
"61";"Lacrampe";"Thierry";24;621;"Top 14";1988;"11/12";"http://www.itsrugby.fr/joueur_8440.html"
"62";"Dixon";"Ash";25;117;"Super Rugby";1988;"13/14";"http://www.itsrugby.fr/joueur_8476.html"
"63";"Dixon";"Ash";24;494;"Super Rugby";1988;"12/13";"http://www.itsrugby.fr/joueur_8476.html"
"64";"McDonald";"Quentin";24;230;"Super Rugby";1988;"12/13";"http://www.itsrugby.fr/joueur_8477.html"
"65";"McDonald";"Quentin";23;283;"Super Rugby";1988;"11/12";"http://www.itsrugby.fr/joueur_8477.html"
"66";"McDonald";"Quentin";22;195;"Super Rugby";1988;"10/11";"http://www.itsrugby.fr/joueur_8477.html"
"67";"McDonald";"Quentin";21;13;"Super Rugby";1988;"09/10";"http://www.itsrugby.fr/joueur_8477.html"
"68";"Whitelock";"Samuel";25;1336;"Super Rugby";1988;"13/14";"http://www.itsrugby.fr/joueur_8480.html"
"69";"Whitelock";"Samuel";24;1246;"Super Rugby";1988;"12/13";"http://www.itsrugby.fr/joueur_8480.html"
